FIPS Code,State Name,Year,GDP
1000,Alabama,2017,216615.5
2000,Alaska,2017,53550.9
4000,Arizona,2017,333099
5000,Arkansas,2017,123882.6
6000,California,2017,2740550.3
8000,Colorado,2017,350209.1
9000,Connecticut,2017,273875.1
10000,Delaware,2017,69555.6
11000,District of Columbia,2017,134298.8
12000,Florida,2017,1014866.9
13000,Georgia,2017,583543.3
15000,Hawaii,2017,87436.4
16000,Idaho,2017,72935.1
17000,Illinois,2017,832826.8
18000,Indiana,2017,357535.8
19000,Iowa,2017,187125
20000,Kansas,2017,166273.6
21000,Kentucky,2017,203564
22000,Louisiana,2017,239830.7
23000,Maine,2017,63000.6
24000,Maryland,2017,399714.5
25000,Massachusetts,2017,530129.4
26000,Michigan,2017,505101.5
27000,Minnesota,2017,354721.9
28000,Mississippi,2017,110281.4
29000,Missouri,2017,311273.8
30000,Montana,2017,48470.5
31000,Nebraska,2017,123219.9
32000,Nevada,2017,163199.1
33000,New Hampshire,2017,81179.6
34000,New Jersey,2017,590086.7
35000,New Mexico,2017,93210.1
36000,New York,2017,1624800.7
37000,North Carolina,2017,546810.1
38000,North Dakota,2017,56530.2
39000,Ohio,2017,652187.5
40000,Oklahoma,2017,192538.6
41000,Oregon,2017,225534.5
42000,Pennsylvania,2017,754318
44000,Rhode Island,2017,58771.6
45000,South Carolina,2017,224937.6
46000,South Dakota,2017,51615.1
47000,Tennessee,2017,355417.5
48000,Texas,2017,1667313
49000,Utah,2017,172075
50000,Vermont,2017,32589.2
51000,Virginia,2017,515167.2
53000,Washington,2017,527169.4
54000,West Virginia,2017,75172.4
55000,Wisconsin,2017,321886.8
56000,Wyoming,2017,37620.3
91000,New England,2017,1039545.4
92000,Mideast,2017,3572774.4
93000,Great Lakes,2017,2669538.3
94000,Plains,2017,1250759.3
95000,Southeast,2017,4210089.2
96000,Southwest,2017,2286160.7
97000,Rocky Mountain,2017,681310.1
98000,Far West,2017,3797440.5
1000,Alabama,2018,226263.8
2000,Alaska,2018,54762
4000,Arizona,2018,353671
5000,Arkansas,2018,129213.8
6000,California,2018,2899530.9
8000,Colorado,2018,373923.1
9000,Connecticut,2018,280535.4
10000,Delaware,2018,73376
11000,District of Columbia,2018,141240.2
12000,Florida,2018,1072085.6
13000,Georgia,2018,612803.4
15000,Hawaii,2018,90933.5
16000,Idaho,2018,79072.4
17000,Illinois,2018,871024.2
18000,Indiana,2018,377376.9
19000,Iowa,2018,193155.1
20000,Kansas,2018,173373
21000,Kentucky,2018,210509.1
22000,Louisiana,2018,256444.4
23000,Maine,2018,66216
24000,Maryland,2018,410771.8
25000,Massachusetts,2018,559605
26000,Michigan,2018,525240.8
27000,Minnesota,2018,372439.2
28000,Mississippi,2018,113166.4
29000,Missouri,2018,320451.6
30000,Montana,2018,51152.1
31000,Nebraska,2018,127954.4
32000,Nevada,2018,172547.9
33000,New Hampshire,2018,83859.4
34000,New Jersey,2018,619340.2
35000,New Mexico,2018,98838.2
36000,New York,2018,1710665.6
37000,North Carolina,2018,568037.3
38000,North Dakota,2018,60377.1
39000,Ohio,2018,672540.1
40000,Oklahoma,2018,204193.9
41000,Oregon,2018,238466.9
42000,Pennsylvania,2018,780620.7
44000,Rhode Island,2018,60064.9
45000,South Carolina,2018,236561.7
46000,South Dakota,2018,53349.5
47000,Tennessee,2018,369713.2
48000,Texas,2018,1808026.9
49000,Utah,2018,186805.7
50000,Vermont,2018,33482.6
51000,Virginia,2018,537158.3
53000,Washington,2018,570337.8
54000,West Virginia,2018,79794.3
55000,Wisconsin,2018,335144.3
56000,Wyoming,2018,39614.5
91000,New England,2018,1083763.3
92000,Mideast,2018,3736014.5
93000,Great Lakes,2018,2781326.3
94000,Plains,2018,1301100
95000,Southeast,2018,4411751.3
96000,Southwest,2018,2464730
97000,Rocky Mountain,2018,730567.7
98000,Far West,2018,4026579
1000,Alabama,2019,234526.4
2000,Alaska,2019,54469.9
4000,Arizona,2019,375545
5000,Arkansas,2019,132637.2
6000,California,2019,3062158.9
8000,Colorado,2019,397701.6
9000,Connecticut,2019,285466.4
10000,Delaware,2019,78685.8
11000,District of Columbia,2019,145171
12000,Florida,2019,1127988.6
13000,Georgia,2019,646939
15000,Hawaii,2019,93356.2
16000,Idaho,2019,84550.2
17000,Illinois,2019,895800
18000,Indiana,2019,385446.2
19000,Iowa,2019,196085.1
20000,Kansas,2019,176917.7
21000,Kentucky,2019,220683.3
22000,Louisiana,2019,257096.7
23000,Maine,2019,69298.2
24000,Maryland,2019,419447.6
25000,Massachusetts,2019,588617.5
26000,Michigan,2019,536975.6
27000,Minnesota,2019,383961.6
28000,Mississippi,2019,115441.7
29000,Missouri,2019,334364.7
30000,Montana,2019,52772.5
31000,Nebraska,2019,132741
32000,Nevada,2019,184343.9
33000,New Hampshire,2019,87472
34000,New Jersey,2019,641877.6
35000,New Mexico,2019,103869.2
36000,New York,2019,1793261.3
37000,North Carolina,2019,593126.9
38000,North Dakota,2019,60516.3
39000,Ohio,2019,703127.8
40000,Oklahoma,2019,205262.6
41000,Oregon,2019,248939.8
42000,Pennsylvania,2019,803078
44000,Rhode Island,2019,62526.9
45000,South Carolina,2019,248046.5
46000,South Dakota,2019,55007.4
47000,Tennessee,2019,385819.5
48000,Texas,2019,1860108.3
49000,Utah,2019,201285.4
50000,Vermont,2019,34628.1
51000,Virginia,2019,561989.6
53000,Washington,2019,608966.4
54000,West Virginia,2019,79883.8
55000,Wisconsin,2019,347398.6
56000,Wyoming,2019,39971.4
91000,New England,2019,1128009.1
92000,Mideast,2019,3881521.3
93000,Great Lakes,2019,2868748.2
94000,Plains,2019,1339593.8
95000,Southeast,2019,4604179.2
96000,Southwest,2019,2544785.1
97000,Rocky Mountain,2019,776281.1
98000,Far West,2019,4252235.2
1000,Alabama,2020,235118.3
2000,Alaska,2020,51261.5
4000,Arizona,2020,386443.5
5000,Arkansas,2020,135884.5
6000,California,2020,3068809.4
8000,Colorado,2020,397612.2
9000,Connecticut,2020,275801.9
10000,Delaware,2020,77615.1
11000,District of Columbia,2020,146935.3
12000,Florida,2020,1140133
13000,Georgia,2020,637930.6
15000,Hawaii,2020,84615.2
16000,Idaho,2020,88187.7
17000,Illinois,2020,860747.5
18000,Indiana,2020,377901.1
19000,Iowa,2020,199447
20000,Kansas,2020,177720.6
21000,Kentucky,2020,218755.2
22000,Louisiana,2020,236135.9
23000,Maine,2020,72091.6
24000,Maryland,2020,413417.7
25000,Massachusetts,2020,589033.3
26000,Michigan,2020,530231.1
27000,Minnesota,2020,379438.7
28000,Mississippi,2020,116193.1
29000,Missouri,2020,335278.3
30000,Montana,2020,53130.7
31000,Nebraska,2020,135285
32000,Nevada,2020,175982
33000,New Hampshire,2020,88589.4
34000,New Jersey,2020,630212.7
35000,New Mexico,2020,100434.5
36000,New York,2020,1766857.4
37000,North Carolina,2020,601148.7
38000,North Dakota,2020,55347.6
39000,Ohio,2020,692121.9
40000,Oklahoma,2020,191653.5
41000,Oregon,2020,251855.8
42000,Pennsylvania,2020,777427.1
44000,Rhode Island,2020,62054.2
45000,South Carolina,2020,249482.2
46000,South Dakota,2020,56162.9
47000,Tennessee,2020,390172.6
48000,Texas,2020,1798596.1
49000,Utah,2020,205666.3
50000,Vermont,2020,34470.8
51000,Virginia,2020,565063.1
53000,Washington,2020,621493.2
54000,West Virginia,2020,76975.9
55000,Wisconsin,2020,343783
56000,Wyoming,2020,36675.5
91000,New England,2020,1122041.1
92000,Mideast,2020,3812465.3
93000,Great Lakes,2020,2804784.6
94000,Plains,2020,1338680
95000,Southeast,2020,4602993
96000,Southwest,2020,2477127.6
97000,Rocky Mountain,2020,781272.4
98000,Far West,2020,4254017.1
1000,Alabama,2021,257986.5
2000,Alaska,2021,58646
4000,Arizona,2021,432279.8
5000,Arkansas,2021,151931.9
6000,California,2021,3416939.4
8000,Colorado,2021,447051.7
9000,Connecticut,2021,295907.5
10000,Delaware,2021,82952.8
11000,District of Columbia,2021,156139.9
12000,Florida,2021,1292391.3
13000,Georgia,2021,701606.1
15000,Hawaii,2021,93089.8
16000,Idaho,2021,98792.8
17000,Illinois,2021,943993.3
18000,Indiana,2021,422951.9
19000,Iowa,2021,220818.2
20000,Kansas,2021,191831.7
21000,Kentucky,2021,237925.9
22000,Louisiana,2021,263162.7
23000,Maine,2021,78918.4
24000,Maryland,2021,446941
25000,Massachusetts,2021,645434
26000,Michigan,2021,576502.2
27000,Minnesota,2021,413063.1
28000,Mississippi,2021,128364.5
29000,Missouri,2021,365145.4
30000,Montana,2021,59996.7
31000,Nebraska,2021,149360.3
32000,Nevada,2021,200127.3
33000,New Hampshire,2021,99100
34000,New Jersey,2021,692227.3
35000,New Mexico,2021,111730.6
36000,New York,2021,1911345.8
37000,North Carolina,2021,659529.3
38000,North Dakota,2021,63208.6
39000,Ohio,2021,759626.2
40000,Oklahoma,2021,217730.8
41000,Oregon,2021,275444
42000,Pennsylvania,2021,844391.6
44000,Rhode Island,2021,67236.7
45000,South Carolina,2021,271494.5
46000,South Dakota,2021,62607.1
47000,Tennessee,2021,438180
48000,Texas,2021,2087490.9
49000,Utah,2021,232125.1
50000,Vermont,2021,37593.5
51000,Virginia,2021,613920.3
53000,Washington,2021,688631.9
54000,West Virginia,2021,86509.9
55000,Wisconsin,2021,369032.4
56000,Wyoming,2021,42176.2
91000,New England,2021,1224190.1
92000,Mideast,2021,4133998.4
93000,Great Lakes,2021,3072106.1
94000,Plains,2021,1466034.5
95000,Southeast,2021,5103002.8
96000,Southwest,2021,2849232.1
97000,Rocky Mountain,2021,880142.5
98000,Far West,2021,4732878.5
1000,Alabama,2022,281569
2000,Alaska,2022,65698.8
4000,Arizona,2022,475653.7
5000,Arkansas,2022,165989.3
6000,California,2022,3641643.4
8000,Colorado,2022,491289
9000,Connecticut,2022,319344.8
10000,Delaware,2022,90208.3
11000,District of Columbia,2022,165060.5
12000,Florida,2022,1439065
13000,Georgia,2022,767377.6
15000,Hawaii,2022,101082.6
16000,Idaho,2022,110871.1
17000,Illinois,2022,1025667.2
18000,Indiana,2022,470323.6
19000,Iowa,2022,238342.3
20000,Kansas,2022,209326.1
21000,Kentucky,2022,258981.2
22000,Louisiana,2022,291951.9
23000,Maine,2022,85801.2
24000,Maryland,2022,480112.7
25000,Massachusetts,2022,691460.6
26000,Michigan,2022,622562.7
27000,Minnesota,2022,448032.4
28000,Mississippi,2022,139976.4
29000,Missouri,2022,396889.9
30000,Montana,2022,67071.9
31000,Nebraska,2022,164933.9
32000,Nevada,2022,222938.6
33000,New Hampshire,2022,105024.6
34000,New Jersey,2022,754948.2
35000,New Mexico,2022,125540.6
36000,New York,2022,2048402.6
37000,North Carolina,2022,715968.3
38000,North Dakota,2022,72651.3
39000,Ohio,2022,825990
40000,Oklahoma,2022,242738.5
41000,Oregon,2022,297308.9
42000,Pennsylvania,2022,911813.3
44000,Rhode Island,2022,72771.4
45000,South Carolina,2022,297546.3
46000,South Dakota,2022,68781.7
47000,Tennessee,2022,485657.5
48000,Texas,2022,2402137.2
49000,Utah,2022,256369.9
50000,Vermont,2022,40830.8
