,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Chained GDP Deflator","0.7635647875","0.7903395325","0.818514575","0.8307795958","0.8288345033","0.8476946612","0.8725951212","0.9333114922","0.9742345261","0.9895654058","0.9987159536","0.9878528155","0.9548824146","0.9759936168","0.9913355932","1","1.0112251018","1.0033860779","1.0110422705","1.0266230901","1.0408432433","1.0587971709","1.0749671723","1.0561984301","1.109560333","1.1269213799"

"Alabama Gross Domestic Product","104811.9","110212","115680.1","119851.7","122915.5","127505","134152.6","147715.2","158846.8","166469","172975.2","174526.3","170930.9","177249.2","183916.6","189245.5","194786.9","197406.9","202372.4","207368.4","214606.3","223859.3","231561.9","230892.1","254109.7","277817.5"
"        Index","100","105.15218215","110.36924242","114.34932484","117.2724662","121.65126288","127.99367247","140.93361536","151.55416513","158.82643097","165.03393222","166.51382143","163.08348575","169.11171346","175.47301404","180.55726497","185.84426005","188.34397621","193.08151078","197.84814511","204.75375411","213.58195014","220.93092483","220.29187525","242.44355841","265.06293656"
"        Percent Change","N","5.1521821473","4.9614379559","3.6061517927","2.5563258594","3.7338659486","5.2135994667","10.109830149","7.5358527762","4.7984598997","3.9083553094","0.8967181423","-2.060090657","3.6964059746","3.7615966673","2.8974546071","2.9281541701","1.3450596524","2.5153629382","2.4687160897","3.4903582224","4.3116162014","3.4408219806","-0.289253111","10.05560606","9.329750104"
"        Percent of Nationwide Total","1.2219325514","1.2160898758","1.2011009667","1.1691762872","1.1615604301","1.1666551378","1.1709787936","1.2090761252","1.2182253248","1.2049364837","1.1950564825","1.1816379869","1.1806196228","1.1778161562","1.1789728938","1.1643032441","1.1564723227","1.1247816111","1.1115684079","1.1092122184","1.1018256757","1.0902384827","1.0830277346","1.096329076","1.0898941333","1.0910754161"
"        Percent of U.S. Total","1.2219325514","1.2160898758","1.2011009667","1.1691762872","1.1615604301","1.1666551378","1.1709787936","1.2090761252","1.2182253248","1.2049364837","1.1950564825","1.1816379869","1.1806196228","1.1778161562","1.1789728938","1.1643032441","1.1564723227","1.1247816111","1.1115684079","1.1092122184","1.1018256757","1.0902384827","1.0830277346","1.096329076","1.0898941333","1.0910754161"
"        State Rank","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","26","27","27","27","27","27","27","27"
"        State Rank Change","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Alabama Real Gross Domestic Product","144501.2","149568.2","154900.2","157221.3","156853.2","160422.4","165134.7","176625","184369.5","187270.8","189002.5","186946.7","180707.2","184702.4","187605.8","189245.5","191369.8","189886.3","191335.2","194283.8","196974.9","200372.6","203432.7","199880.8","209979.3","213264.8"
"        Index","100","103.50654527","107.19648003","108.80276427","108.5480259","111.01803999","114.27912017","122.23081884","127.59028991","129.5980933","130.79649166","129.37380451","125.05584729","127.82066862","129.82992529","130.96465635","132.43474795","131.40811287","132.41080351","134.4513402","136.31367767","138.66500763","140.7827063","138.32466443","145.31318771","147.58687125"
"        Percent Change","N","3.5065452744","3.5649289087","1.4984486786","-0.234128582","2.2755034644","2.9374326777","6.9581378111","4.3847133758","1.573633383","0.9247036911","-1.08771048","-3.337582316","2.2108692957","1.5719340951","0.87401349","1.1225101786","-0.775200685","0.7630355639","1.5410651046","1.3851386477","1.7249405889","1.5272048174","-1.745982824","5.0522611476","1.5646780421"
"        Percent of Nationwide Total","1.25335443","1.2416601803","1.2270915804","1.1966880892","1.1826002304","1.1893398136","1.1909738106","1.2265883946","1.2372738188","1.2227180527","1.2097034083","1.1950850485","1.1860336873","1.180283125","1.1805392733","1.1643032441","1.1560791207","1.1214607138","1.1002412553","1.0988732414","1.0896647836","1.0767465212","1.0686706466","1.0799030512","1.0707869101","1.0655712804"
"        Percent of U.S. Total","1.25335443","1.2416601803","1.2270915804","1.1966880892","1.1826002304","1.1893398136","1.1909738106","1.2265883946","1.2372738188","1.2227180527","1.2097034083","1.1950850485","1.1860336873","1.180283125","1.1805392733","1.1643032441","1.1560791207","1.1214607138","1.1002412553","1.0988732414","1.0896647836","1.0767465212","1.0686706466","1.0799030512","1.0707869101","1.0655712804"
"        State Rank","26","26","26","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","27","27","27","27","27","27","27","27"
"        State Rank Change","N","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
