"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"NGCGUUS",199001,3.24,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-01-01
"NGCGUUS",199002,3.1,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-02-01
"NGCGUUS",199003,2.94,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-03-01
"NGCGUUS",199004,2.83,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-04-01
"NGCGUUS",199005,2.81,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-05-01
"NGCGUUS",199006,3,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-06-01
"NGCGUUS",199007,3.03,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-07-01
"NGCGUUS",199008,2.91,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-08-01
"NGCGUUS",199009,2.92,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-09-01
"NGCGUUS",199010,2.81,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-10-01
"NGCGUUS",199011,3.14,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-11-01
"NGCGUUS",199012,3.19,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1990-12-01
"NGCGUUS",199101,3.08,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-01-01
"NGCGUUS",199102,2.94,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-02-01
"NGCGUUS",199103,2.78,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-03-01
"NGCGUUS",199104,2.74,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-04-01
"NGCGUUS",199105,2.76,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-05-01
"NGCGUUS",199106,2.86,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-06-01
"NGCGUUS",199107,2.74,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-07-01
"NGCGUUS",199108,2.78,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-08-01
"NGCGUUS",199109,2.91,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-09-01
"NGCGUUS",199110,2.92,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-10-01
"NGCGUUS",199111,2.92,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-11-01
"NGCGUUS",199112,3.05,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1991-12-01
"NGCGUUS",199201,2.9,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-01-01
"NGCGUUS",199202,2.7,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-02-01
"NGCGUUS",199203,2.61,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-03-01
"NGCGUUS",199204,2.74,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-04-01
"NGCGUUS",199205,2.9,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-05-01
"NGCGUUS",199206,3,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-06-01
"NGCGUUS",199207,3.01,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-07-01
"NGCGUUS",199208,3.18,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-08-01
"NGCGUUS",199209,3.23,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-09-01
"NGCGUUS",199210,3.5,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-10-01
"NGCGUUS",199211,3.33,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-11-01
"NGCGUUS",199212,3.17,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1992-12-01
"NGCGUUS",199301,3.11,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-01-01
"NGCGUUS",199302,2.94,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-02-01
"NGCGUUS",199303,3.06,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-03-01
"NGCGUUS",199304,3.24,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-04-01
"NGCGUUS",199305,3.58,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-05-01
"NGCGUUS",199306,3.44,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-06-01
"NGCGUUS",199307,3.34,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-07-01
"NGCGUUS",199308,3.35,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-08-01
"NGCGUUS",199309,3.54,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-09-01
"NGCGUUS",199310,3.15,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-10-01
"NGCGUUS",199311,3.15,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-11-01
"NGCGUUS",199312,3.27,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1993-12-01
"NGCGUUS",199401,3.04,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-01-01
"NGCGUUS",199402,3.26,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-02-01
"NGCGUUS",199403,3.33,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-03-01
"NGCGUUS",199404,3.15,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-04-01
"NGCGUUS",199405,3.17,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-05-01
"NGCGUUS",199406,3.17,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-06-01
"NGCGUUS",199407,3.12,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-07-01
"NGCGUUS",199408,3.15,2,"Natural Gas Price, Citygate","Dollars per Thousand Cubic Feet",1994-08-01
