"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"RACPUUS",199001,20.64,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-01-01
"RACPUUS",199002,20.31,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-02-01
"RACPUUS",199003,19.14,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-03-01
"RACPUUS",199004,17.05,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-04-01
"RACPUUS",199005,16.27,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-05-01
"RACPUUS",199006,15.11,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-06-01
"RACPUUS",199007,16.19,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-07-01
"RACPUUS",199008,23.55,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-08-01
"RACPUUS",199009,30.03,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-09-01
"RACPUUS",199010,33.14,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-10-01
"RACPUUS",199011,30.52,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-11-01
"RACPUUS",199012,26.09,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1990-12-01
"RACPUUS",199101,22.85,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-01-01
"RACPUUS",199102,19.03,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-02-01
"RACPUUS",199103,17.89,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-03-01
"RACPUUS",199104,18.46,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-04-01
"RACPUUS",199105,18.7,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-05-01
"RACPUUS",199106,17.98,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-06-01
"RACPUUS",199107,18.57,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-07-01
"RACPUUS",199108,18.92,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-08-01
"RACPUUS",199109,19.17,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-09-01
"RACPUUS",199110,20.16,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-10-01
"RACPUUS",199111,19.72,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-11-01
"RACPUUS",199112,17.56,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1991-12-01
"RACPUUS",199201,16.5,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-01-01
"RACPUUS",199202,16.3,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-02-01
"RACPUUS",199203,16.56,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-03-01
"RACPUUS",199204,17.66,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-04-01
"RACPUUS",199205,18.83,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-05-01
"RACPUUS",199206,19.99,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-06-01
"RACPUUS",199207,20.1,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-07-01
"RACPUUS",199208,19.56,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-08-01
"RACPUUS",199209,19.59,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-09-01
"RACPUUS",199210,19.49,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-10-01
"RACPUUS",199211,18.66,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-11-01
"RACPUUS",199212,17.43,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1992-12-01
"RACPUUS",199301,17.11,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-01-01
"RACPUUS",199302,17.64,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-02-01
"RACPUUS",199303,18.08,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-03-01
"RACPUUS",199304,18.42,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-04-01
"RACPUUS",199305,18.16,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-05-01
"RACPUUS",199306,17.26,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-06-01
"RACPUUS",199307,16.1,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-07-01
"RACPUUS",199308,15.83,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-08-01
"RACPUUS",199309,15.59,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-09-01
"RACPUUS",199310,15.81,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-10-01
"RACPUUS",199311,14.51,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-11-01
"RACPUUS",199312,12.51,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1993-12-01
"RACPUUS",199401,12.83,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-01-01
"RACPUUS",199402,13.07,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-02-01
"RACPUUS",199403,13.16,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-03-01
"RACPUUS",199404,14.64,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-04-01
"RACPUUS",199405,15.8,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-05-01
"RACPUUS",199406,17.21,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-06-01
"RACPUUS",199407,17.62,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-07-01
"RACPUUS",199408,16.92,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-08-01
"RACPUUS",199409,16.18,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-09-01
"RACPUUS",199410,16.31,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-10-01
"RACPUUS",199411,16.54,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-11-01
"RACPUUS",199412,16.03,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1994-12-01
"RACPUUS",199501,16.54,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-01-01
"RACPUUS",199502,17.18,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-02-01
"RACPUUS",199503,17.26,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-03-01
"RACPUUS",199504,18.43,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-04-01
"RACPUUS",199505,18.62,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-05-01
"RACPUUS",199506,17.69,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-06-01
"RACPUUS",199507,16.68,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-07-01
"RACPUUS",199508,16.75,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-08-01
"RACPUUS",199509,16.91,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-09-01
"RACPUUS",199510,16.55,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-10-01
"RACPUUS",199511,16.62,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-11-01
"RACPUUS",199512,17.54,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1995-12-01
"RACPUUS",199601,17.74,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-01-01
"RACPUUS",199602,17.95,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-02-01
"RACPUUS",199603,19.76,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-03-01
"RACPUUS",199604,21.63,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-04-01
"RACPUUS",199605,20.61,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-05-01
"RACPUUS",199606,19.31,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-06-01
"RACPUUS",199607,19.76,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-07-01
"RACPUUS",199608,20.54,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-08-01
"RACPUUS",199609,21.96,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-09-01
"RACPUUS",199610,23.08,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-10-01
"RACPUUS",199611,22.87,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-11-01
"RACPUUS",199612,23.3,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1996-12-01
"RACPUUS",199701,23.59,6,"Refiner Acquisition Cost of Crude Oil, Composite","Dollars per Barrel",1997-01-01
