"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"ESTCUUS",199001,6.27,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-01-01
"ESTCUUS",199002,6.33,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-02-01
"ESTCUUS",199003,6.37,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-03-01
"ESTCUUS",199004,6.35,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-04-01
"ESTCUUS",199005,6.46,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-05-01
"ESTCUUS",199006,6.71,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-06-01
"ESTCUUS",199007,6.92,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-07-01
"ESTCUUS",199008,6.89,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-08-01
"ESTCUUS",199009,6.85,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-09-01
"ESTCUUS",199010,6.67,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-10-01
"ESTCUUS",199011,6.46,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-11-01
"ESTCUUS",199012,6.43,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1990-12-01
"ESTCUUS",199101,6.43,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1991-01-01
"ESTCUUS",199102,6.53,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1991-02-01
"ESTCUUS",199103,6.55,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1991-03-01
"ESTCUUS",199104,6.53,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1991-04-01
"ESTCUUS",199105,6.63,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1991-05-01
"ESTCUUS",199106,6.92,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1991-06-01
